Word,3singular,Present Participle,Simple Past,Past Participle, isRegular
breed,breeds,breeding,bred,bred,true
bring,brings,bringing,brought,brought,false
broadcast,broadcasts,broadcasting,broadcast,broadcast,false
brush,brushes,brushing,brushed,brushed,true
build,builds,building,built,built,false
burn,burns,burning,burned,burned,true
burst,bursts,bursting,burst,burst,false
bury,buries,burying,buried,buried,true
buy,buys,buying,bought,bought,false
calculate,calculates,calculating,calculated,calculated,true
call,calls,calling,called,called,true
calm,calms,calming,calmed,calmed,true
campaign,campaigns,campaigning,campaigned,campaigned,true
cancel,cancels,cancelling,cancelled,cancelled,true
capture,captures,capturing,captured,captured,true
care,cares,caring,cared,cared,true
carry,carries,carrying,carried,carried,true
cash,cashes,cashing,cashed,cashed,true
cast,casts,casting,cast,cast,false
catch,catches,catching,caught,caught,false
cater,caters,catering,catered,catered,true
cause,causes,causing,caused,caused,true
cease,ceases,ceasing,ceased,ceased,true
celebrate,celebrates,celebrating,celebrated,celebrated,true
challenge,challenges,challenging,challenged,challenged,true
change,changes,changing,changed,changed,true
charge,charges,charging,charged,charged,true
chase,chases,chasing,chased,chased,true
chat,chats,chatting,chatted,chatted,true
check,checks,checking,checked,checked,true
cheer,cheers,cheering,cheered,cheered,true
choose,chooses,choosing,chose,chosen,false
chuck,chucks,chucking,chucked,chucked,true
claim,claims,claiming,claimed,claimed,true
clarify,clarifies,clarifying,clarified,clarified,true
classify,classifies,classifying,classified,classified,true
clean,cleans,cleaning,cleaned,cleaned,true
clear,clears,clearing,cleared,cleared,true
climb,climbs,climbing,climbed,climbed,true
cling,clings,clinging,clung,clung,false
close,closes,closing,closed,closed,true
co-operate,co-operates,co-operating,co-operated,co-operated,true
co-ordinate,co-ordinates,co-ordinating,co-ordinated,co-ordinated,true
coach,coaches,coaching,coached,coached,true
coincide,coincides,coinciding,coincided,coincided,true
collapse,collapses,collapsing,collapsed,collapsed,true
collect,collects,collecting,collected,collected,true
colour,colours,colouring,coloured,coloured,true
combat,combats,combatting,combatted,combatted,true
combine,combines,combining,combined,combined,true
come,comes,coming,came,come,false
comfort,comforts,comforting,comforted,comforted,true
command,commands,commanding,commanded,commanded,true
commence,commences,commencing,commenced,commenced,true
comment,comments,commenting,commented,commented,true
commit,commits,committing,committed,committed,true
communicate,communicates,communicating,communicated,communicated,true
compare,compares,comparing,compared,compared,true
compensate,compensates,compensating,compensated,compensated,true
compete,competes,competing,competed,competed,true
complain,complains,complaining,complained,complained,true
complement,complements,complementing,complemented,complemented,true
complete,completes,completing,completed,completed,true
comply,complies,complying,complied,complied,true
comprehend,comprehends,comprehending,comprehended,comprehended,true
comprise,comprises,comprising,comprised,comprised,true
compromise,compromises,compromising,compromised,compromised,true
conceal,conceals,concealing,concealed,concealed,true
concede,concedes,conceding,conceded,conceded,true
conceive,conceives,conceiving,conceived,conceived,true
concentrate,concentrates,concentrating,concentrated,concentrated,true
concern,concerns,concerning,concerned,concerned,true
conclude,concludes,concluding,concluded,concluded,true
condemn,condemns,condemning,condemned,condemned,true
conduct,conducts,conducting,conducted,conducted,true
confer,confers,conferring,conferred,conferred,true
confess,confesses,confessing,confessed,confessed,true
confirm,confirms,confirming,confirmed,confirmed,true
conform,conforms,conforming,conformed,conformed,true
confront,confronts,confronting,confronted,confronted,true
confuse,confuses,confusing,confused,confused,true
congratulate,congratulates,congratulating,congratulated,congratulated,true
connect,connects,connecting,connected,connected,true
consider,considers,considering,considered,considered,true
consist,consists,consisting,consisted,consisted,true
consolidate,consolidates,consolidating,consolidated,consolidated,true
constitute,constitutes,constituting,constituted,constituted,true
construct,constructs,constructing,constructed,constructed,true
consult,consults,consulting,consulted,consulted,true
consume,consumes,consuming,consumed,consumed,true
contact,contacts,contacting,contacted,contacted,true
contain,contains,containing,contained,contained,true
contemplate,contemplates,contemplating,contemplated,contemplated,true
contend,contends,contending,contended,contended,true
continue,continues,continuing,continued,continued,true
contract,contracts,contracting,contracted,contracted,true
contrast,contrasts,contrasting,contrasted,contrasted,true
contribute,contributes,contributing,contributed,contributed,true
control,controls,controlling,controlled,controlled,true
convert,converts,converting,converted,converted,true
convey,conveys,conveying,conveyed,conveyed,true
convince,convinces,convincing,convinced,convinced,true
cook,cooks,cooking,cooked,cooked,true
cool,cools,cooling,cooled,cooled,true
cope,copes,coping,coped,coped,true
copy,copies,copying,copied,copied,true
correct,corrects,correcting,corrected,corrected,true
correspond,corresponds,corresponding,corresponded,corresponded,true
cost,costs,costing,cost,cost,false
count,counts,counting,counted,counted,true
counter,counters,countering,countered,countered,true
cover,covers,covering,covered,covered,true
crack,cracks,cracking,cracked,cracked,true
crash,crashes,crashing,crashed,crashed,true
create,creates,creating,created,created,true
creep,creeps,creeping,crept,crept,false
criticise,criticises,criticising,criticised,criticised,true
cross,crosses,crossing,crossed,crossed,true
cry,cries,crying,cried,cried,true
curb,curbs,curbing,curbed,curbed,true
cure,cures,curing,cured,cured,true
cut,cuts,cutting,cut,cut,false
damage,damages,damaging,damaged,damaged,true
damn,damns,damning,damned,damned,true
dance,dances,dancing,danced,danced,true
dare,dare,daring,dared,dared,true
date,dates,dating,dated,dated,true
deal,deals,dealing,dealt,dealt,false
debate,debates,debating,debated,debated,true
decide,decides,deciding,decided,decided,true
declare,declares,declaring,declared,declared,true
decline,declines,declining,declined,declined,true
decorate,decorates,decorating,decorated,decorated,true
decrease,decreases,decreasing,decreased,decreased,true
defeat,defeats,defeating,defeated,defeated,true
defend,defends,defending,defended,defended,true
define,defines,defining,defined,defined,true
delay,delays,delaying,delayed,delayed,true
delete,deletes,deleting,deleted,deleted,true
deliver,delivers,delivering,delivered,delivered,true
demand,demands,demanding,demanded,demanded,true
demonstrate,demonstrates,demonstrating,demonstrated,demonstrated,true
deny,denies,denying,denied,denied,true
depart,departs,departing,departed,departed,true
depend,depends,depending,depended,depended,true
derive,derives,deriving,derived,derived,true
descend,descends,descending,descended,descended,true
describe,describes,describing,described,described,true
deserve,deserves,deserving,deserved,deserved,true
design,designs,designing,designed,designed,true
desire,desires,desiring,desired,desired,true
destroy,destroys,destroying,destroyed,destroyed,true
detect,detects,detecting,detected,detected,true
deter,deters,deterring,deterred,deterred,true
determine,determines,determining,determined,determined,true
develop,develops,developing,developed,developed,true
devise,devises,devising,devised,devised,true
devote,devotes,devoting,devoted,devoted,true
dictate,dictates,dictating,dictated,dictated,true
die,dies,dying,died,died,true
differ,differs,differing,differed,differed,true
differentiate,differentiates,differentiating,differentiated,differentiated,true
dig,digs,digging,dug,dug,false
diminish,diminishes,diminishing,diminished,diminished,true
dip,dips,dipping,dipped,dipped,true
direct,directs,directing,directed,directed,true
disagree,disagrees,disagreeing,disagreed,disagreed,true
disappear,disappears,disappearing,disappeared,disappeared,true
discharge,discharges,discharging,discharged,discharged,true
disclose,discloses,disclosing,disclosed,disclosed,true
discourage,discourages,discouraging,discouraged,discouraged,true
discover,discovers,discovering,discovered,discovered,true
discriminate,discriminates,discriminating,discriminated,discriminated,true
discuss,discusses,discussing,discussed,discussed,true
disguise,disguises,disguising,disguised,disguised,true
dislike,dislikes,disliking,disliked,disliked,true
dismiss,dismisses,dismissing,dismissed,dismissed,true
display,displays,displaying,displayed,displayed,true
dispose,disposes,disposing,disposed,disposed,true
disrupt,disrupts,disrupting,disrupted,disrupted,true
dissolve,dissolves,dissolving,dissolved,dissolved,true
distinguish,distinguishes,distinguishing,distinguished,distinguished,true
distribute,distributes,distributing,distributed,distributed,true
disturb,disturbs,disturbing,disturbed,disturbed,true
divert,diverts,diverting,diverted,diverted,true
divide,divides,dividing,divided,divided,true
divorce,divorces,divorcing,divorced,divorced,true
do,does,doing,did,done,false
dominate,dominates,dominating,dominated,dominated,true
double,doubles,doubling,doubled,doubled,true
doubt,doubts,doubting,doubted,doubted,true
draft,drafts,drafting,drafted,drafted,true
drag,drags,dragging,dragged,dragged,true
drain,drains,draining,drained,drained,true
draw,draws,drawing,drew,drawn,false
dream,dreams,dreaming,dreamed,dreamed,true
dress,dresses,dressing,dressed,dressed,true
drift,drifts,drifting,drifted,drifted,true
drink,drinks,drinking,drank,drunk,false
drive,drives,driving,drove,driven,false
drop,drops,dropping,dropped,dropped,true
drown,drowns,drowning,drowned,drowned,true
dwell,dwells,dwelling,dwelt,dwelt,false
earn,earns,earning,earned,earned,true
ease,eases,easing,eased,eased,true
eat,eats,eating,ate,eaten,false
echo,echoes,echoing,echoed,echoed,true
edit,edits,editing,edited,edited,true
educate,educates,educating,educated,educated,true
effect,effects,effecting,effected,effected,true
elect,elects,electing,elected,elected,true
eliminate,eliminates,eliminating,eliminated,eliminated,true
embark,embarks,embarking,embarked,embarked,true
embrace,embraces,embracing,embraced,embraced,true
emerge,emerges,emerging,emerged,emerged,true
emphasize,emphasizes,emphasizing,emphasized,emphasized,true
employ,employs,employing,employed,employed,true
empty,empties,emptying,emptied,emptied,true
enable,enables,enabling,enabled,enabled,true
enclose,encloses,enclosing,enclosed,enclosed,true
encounter,encounters,encountering,encountered,encountered,true
encourage,encourages,encouraging,encouraged,encouraged,true
end,ends,ending,ended,ended,true
endorse,endorses,endorsing,endorsed,endorsed,true
endure,endures,enduring,endured,endured,true
enforce,enforces,enforcing,enforced,enforced,true
engage,engages,engaging,engaged,engaged,true
enhance,enhances,enhancing,enhanced,enhanced,true
enjoy,enjoys,enjoying,enjoyed,enjoyed,true
enquire,enquires,enquiring,enquired,enquired,true
ensure,ensures,ensuring,ensured,ensured,true
entail,entails,entailing,entailed,entailed,true
enter,enters,entering,entered,entered,true
entertain,entertains,entertaining,entertained,entertained,true
envisage,envisages,envisaging,envisaged,envisaged,true
escape,escapes,escaping,escaped,escaped,true
establish,establishes,establishing,established,established,true
estimate,estimates,estimating,estimated,estimated,true
evaluate,evaluates,evaluating,evaluated,evaluated,true
evolve,evolves,evolving,evolved,evolved,true
examine,examines,examining,examined,examined,true
exceed,exceeds,exceeding,exceeded,exceeded,true
exchange,exchanges,exchanging,exchanged,exchanged,true
exclude,excludes,excluding,excluded,excluded,true
excuse,excuses,excusing,excused,excused,true
execute,executes,executing,executed,executed,true
exercise,exercises,exercising,exercised,exercised,true
exert,exerts,exerting,exerted,exerted,true
exhibit,exhibits,exhibiting,exhibited,exhibited,true
exist,exists,existing,existed,existed,true
expand,expands,expanding,expanded,expanded,true
expect,expects,expecting,expected,expected,true
experience,experiences,experiencing,experienced,experienced,true
experiment,experiments,experimenting,experimented,experimented,true
explain,explains,explaining,explained,explained,true
explode,explodes,exploding,exploded,exploded,true
exploit,exploits,exploiting,exploited,exploited,true
explore,explores,exploring,explored,explored,true
export,exports,exporting,exported,exported,true
expose,exposes,exposing,exposed,exposed,true
express,expresses,expressing,expressed,expressed,true
extend,extends,extending,extended,extended,true
extract,extracts,extracting,extracted,extracted,true
face,faces,facing,faced,faced,true
facilitate,facilitates,facilitating,facilitated,facilitated,true
fade,fades,fading,faded,faded,true
fail,fails,failing,failed,failed,true
fall,falls,falling,fell,fallen,false
fancy,fancies,fancying,fancied,fancied,true
favour,favours,favouring,favoured,favoured,true
fear,fears,fearing,feared,feared,true
feature,features,featuring,featured,featured,true
feel,feels,feeling,felt,felt,false
fetch,fetches,fetching,fetched,fetched,true
fight,fights,fighting,fought,fought,false
figure,figures,figuring,figured,figured,true
file,files,filing,filed,filed,true
fill,fills,filling,filled,filled,true
finance,finances,financing,financed,financed,true
find,finds,finding,found,found,false
finish,finishes,finishing,finished,finished,true
fire,fires,firing,fired,fired,true
fish,fishes,fishing,fished,fished,true
fit,fits,fitting,fitted,fitted,true
fix,fixes,fixing,fixt,fixt,false
flee,flees,fleeing,fled,fled,false
float,floats,floating,floated,floated,true
flourish,flourishes,flourishing,flourished,flourished,true
flow,flows,flowing,flowed,flowed,true
focus,focuses,focusing,focused,focused,true
fold,folds,folding,folded,folded,true
follow,follows,following,followed,followed,true
fool,fools,fooling,fooled,fooled,true
force,forces,forcing,forced,forced,true
forecast,forecasts,forecasting,forecast,forecast,false
forget,forgets,forgetting,forgot,forgotten,false
forgive,forgives,forgiving,forgave,forgiven,false
form,forms,forming,formed,formed,true
formulate,formulates,formulating,formulated,formulated,true
foster,fosters,fostering,fostered,fostered,true
free,frees,freeing,freed,freed,true
freeze,freezes,freezing,froze,frozen,false
frighten,frightens,frightening,frightened,frightened,true
fry,fries,frying,fried,fried,true
fuck,fucks,fucking,fucked,fucked,true
fulfil,fulfils,fulfilling,fulfilled,fulfilled,true
function,functions,functioning,functioned,functioned,true
fund,funds,funding,funded,funded,true
gain,gains,gaining,gained,gained,true
gather,gathers,gathering,gathered,gathered,true
generate,generates,generating,generated,generated,true
get,gets,getting,got,got,false
give,gives,giving,gave,given,false
go,goes,going,went,gone,false
govern,governs,governing,governed,governed,true
grab,grabs,grabbing,grabbed,grabbed,true
grade,grades,grading,graded,graded,true
grant,grants,granting,granted,granted,true
grasp,grasps,grasping,grasped,grasped,true
greet,greets,greeting,greeted,greeted,true
grow,grows,growing,grew,grown,false
guarantee,guarantees,guaranteeing,guaranteed,guaranteed,true
guard,guards,guarding,guarded,guarded,true
guess,guesses,guessing,guessed,guessed,true
guide,guides,guiding,guided,guided,true
halt,halts,halting,halted,halted,true
hand,hands,handing,handed,handed,true
handle,handles,handling,handled,handled,true
hang,hangs,hanging,hung,hung,false
happen,happens,happening,happened,happened,true
harm,harms,harming,harmed,harmed,true
hate,hates,hating,hated,hated,true
head,heads,heading,headed,headed,true
heal,heals,healing,hole,holen,false
hear,hears,hearing,heard,heard,false
heat,heats,heating,heated,heated,true
help,helps,helping,helped,helped,true
hesitate,hesitates,hesitating,hesitated,hesitated,true
hide,hides,hiding,hid,hidden,false
highlight,highlights,highlighting,highlighted,highlighted,true
hire,hires,hiring,hired,hired,true
hit,hits,hitting,hit,hit,false
hold,holds,holding,held,held,false
honour,honours,honouring,honoured,honoured,true
hope,hopes,hoping,hoped,hoped,true
host,hosts,hosting,hosted,hosted,true
house,houses,housing,housed,housed,true
hunt,hunts,hunting,hunted,hunted,true
hurry,hurries,hurrying,hurried,hurried,true
hurt,hurts,hurting,hurt,hurt,false
identify,identifies,identifying,identified,identified,true
ignore,ignores,ignoring,ignored,ignored,true
illustrate,illustrates,illustrating,illustrated,illustrated,true
imagine,imagines,imagining,imagined,imagined,true
implement,implements,implementing,implemented,implemented,true
imply,implies,implying,implied,implied,true
import,imports,importing,imported,imported,true
impose,imposes,imposing,imposed,imposed,true
impress,impresses,impressing,impressed,impressed,true
improve,improves,improving,improved,improved,true
in,ins,inning,inned,inned,true
include,includes,including,included,included,true
incorporate,incorporates,incorporating,incorporated,incorporated,true
increase,increases,increasing,increased,increased,true
indicate,indicates,indicating,indicated,indicated,true
induce,induces,inducing,induced,induced,true
indulge,indulges,indulging,indulged,indulged,true
influence,influences,influencing,influenced,influenced,true
inform,informs,informing,informed,informed,true
inherit,inherits,inheriting,inherited,inherited,true
inhibit,inhibits,inhibiting,inhibited,inhibited,true
initiate,initiates,initiating,initiated,initiated,true
insert,inserts,inserting,inserted,inserted,true
insist,insists,insisting,insisted,insisted,true
inspect,inspects,inspecting,inspected,inspected,true
inspire,inspires,inspiring,inspired,inspired,true
install,installs,installing,installed,installed,true
instruct,instructs,instructing,instructed,instructed,true
integrate,integrates,integrating,integrated,integrated,true
intend,intends,intending,intended,intended,true
interact,interacts,interacting,interacted,interacted,true
interest,interests,interesting,interested,interested,true
interfere,interferes,interfering,interfered,interfered,true
interpret,interprets,interpreting,interpreted,interpreted,true
interrupt,interrupts,interrupting,interrupted,interrupted,true
intervene,intervenes,intervening,intervened,intervened,true
interview,interviews,interviewing,interviewed,interviewed,true
introduce,introduces,introducing,introduced,introduced,true
invent,invents,inventing,invented,invented,true
invest,invests,investing,invested,invested,true
investigate,investigates,investigating,investigated,investigated,true
invite,invites,inviting,invited,invited,true
involve,involves,involving,involved,involved,true
isolate,isolates,isolating,isolated,isolated,true
issue,issues,issuing,issued,issued,true
join,joins,joining,joined,joined,true
judge,judges,judging,judged,judged,true
jump,jumps,jumping,jumped,jumped,true
justify,justifies,justifying,justified,justified,true
keep,keeps,keeping,kept,kept,false
kick,kicks,kicking,kicked,kicked,true
kill,kills,killing,killed,killed,true
kiss,kisses,kissing,kissed,kissed,true
knit,knits,knitting,knit,knit,false
knock,knocks,knocking,knocked,knocked,true
know,knows,knowing,knew,known,false
lack,lacks,lacking,lacked,lacked,true
land,lands,landing,landed,landed,true
last,lasts,lasting,lasted,lasted,true
laugh,laughs,laughing,laughed,laughed,true
launch,launches,launching,launched,launched,true
lead,leads,leading,leaded,leaded,true
lean,leans,leaning,leaned,leaned,true
leap,leaps,leaping,leaped,leaped,true
learn,learns,learning,learned,learned,true
leave,leaves,leaving,left,left,false
lend,lends,lending,lent,lent,false
let,lets,letting,let,let,false
level,levels,leveling,leveled,leveled,true
lie,lies,lying,lay,lain,false
lift,lifts,lifting,lifted,lifted,true
light,lights,lighting,lit,lit,false
like,likes,liking,liked,liked,true
limit,limits,limiting,limited,limited,true
line,lines,lining,lined,lined,true
link,links,linking,linked,linked,true
list,lists,listing,listed,listed,true
listen,listens,listening,listened,listened,true
live,lives,living,lived,lived,false
load,loads,loading,loaded,loaded,true
locate,locates,locating,located,located,true
lock,locks,locking,locked,locked,true
look,looks,looking,looked,looked,true
lose,loses,losing,lost,lost,false
love,loves,loving,loved,loved,true
machine,machines,machining,machined,machined,true
maintain,maintains,maintaining,maintained,maintained,true
make,makes,making,made,made,false
manage,manages,managing,managed,managed,true
manipulate,manipulates,manipulating,manipulated,manipulated,true
manufacture,manufactures,manufacturing,manufactured,manufactured,true
march,marches,marching,marched,marched,true
mark,marks,marking,marked,marked,true
market,markets,marketing,marketed,marketed,true
marry,marries,marrying,married,married,true
master,masters,mastering,mastered,mastered,true
match,matches,matching,matched,matched,true
mature,matures,maturing,matured,matured,true
measure,measures,measuring,measured,measured,true
meet,meets,meeting,met,met,false
melt,melts,melting,melted,melted,true
mention,mentions,mentioning,mentioned,mentioned,true
merge,merges,merging,merged,merged,true
mind,minds,minding,minded,minded,true
minimise,minimises,minimising,minimised,minimised,true
minister,ministers,ministering,ministered,ministered,true
miss,misses,missing,missed,missed,true
mix,mixes,mixing,mixed,mixed,true
modify,modifies,modifying,modified,modified,true
monitor,monitors,monitoring,monitored,monitored,true
mount,mounts,mounting,mounted,mounted,true
move,moves,moving,moved,moved,true
multiply,multiplies,multiplying,multiplied,multiplied,true
murder,murders,murdering,murdered,murdered,true
name,names,naming,named,named,true
need,needs,needing,needed,needed,true
negotiate,negotiates,negotiating,negotiated,negotiated,true
note,notes,noting,noted,noted,true
notice,notices,noticing,noticed,noticed,true
notify,notifies,notifying,notified,notified,true
obey,obeys,obeying,obeyed,obeyed,true
object,objects,objecting,objected,objected,true
obscure,obscures,obscuring,obscured,obscured,true
observe,observes,observing,observed,observed,true
obtain,obtains,obtaining,obtained,obtained,true
occupy,occupies,occupying,occupied,occupied,true
occur,occurs,occurring,occurred,occurred,true
offer,offers,offering,offered,offered,true
offset,offsets,offsetting,offset,offset,false
open,opens,opening,opened,opened,true
operate,operates,operating,operated,operated,true
oppose,opposes,opposing,opposed,opposed,true
opt,opts,opting,opted,opted,true
order,orders,ordering,ordered,ordered,true
organise,organises,organising,organised,organised,true
outline,outlines,outlining,outlined,outlined,true
overcome,overcomes,overcoming,overcame,overcome,false
overlook,overlooks,overlooking,overlooked,overlooked,true
owe,owes,owing,owed,owed,true
own,owns,owning,owned,owned,false
pack,packs,packing,packed,packed,true
paint,paints,painting,painted,painted,true
park,parks,parking,parked,parked,true
participate,participates,participating,participated,participated,true
pass,passes,passing,passed,passed,true
pause,pauses,pausing,paused,paused,true
pay,pays,paying,paid,paid,false
penetrate,penetrates,penetrating,penetrated,penetrated,true
perceive,perceives,perceiving,perceived,perceived,true
perform,performs,performing,performed,performed,true
permit,permits,permitting,permitted,permitted,true
persist,persists,persisting,persisted,persisted,true
persuade,persuades,persuading,persuaded,persuaded,true
phone,phones,phoning,phoned,phoned,true
pick,picks,picking,picked,picked,true
picture,pictures,picturing,pictured,pictured,true
pin,pins,pinning,pinned,pinned,true
place,places,placing,placed,placed,true
plan,plans,planning,planned,planned,true
plant,plants,planting,planted,planted,true
play,plays,playing,played,played,true
plead,pleads,pleading,pleaded,pleaded,true
please,pleases,pleasing,pleased,pleased,true
plug,plugs,plugging,plugged,plugged,true
point,points,pointing,pointed,pointed,true
pop,pops,popping,popped,popped,true
pose,poses,posing,posed,posed,true
position,positions,positioning,positioned,positioned,true
possess,possesses,possessing,possessed,possessed,true
postpone,postpones,postponing,postponed,postponed,true
pour,pours,pouring,poured,poured,true
practise,practises,practising,practised,practised,true
praise,praises,praising,praised,praised,true
pray,prays,praying,prayed,prayed,true
predict,predicts,predicting,predicted,predicted,true
prefer,prefers,preferring,preferred,preferred,true
prepare,prepares,preparing,prepared,prepared,true
present,presents,presenting,presented,presented,true
preserve,preserves,preserving,preserved,preserved,true
press,presses,pressing,pressed,pressed,true
presume,presumes,presuming,presumed,presumed,true
pretend,pretends,pretending,pretended,pretended,true
prevail,prevails,prevailing,prevailed,prevailed,true
prevent,prevents,preventing,prevented,prevented,true
price,prices,pricing,priced,priced,true
print,prints,printing,printed,printed,true
proceed,proceeds,proceeding,proceeded,proceeded,true
process,processes,processing,processed,processed,true
produce,produces,producing,produced,produced,true
profit,profits,profiting,profited,profited,true
progress,progresses,progressing,progressed,progressed,true
project,projects,projecting,projected,projected,true
promise,promises,promising,promised,promised,true
promote,promotes,promoting,promoted,promoted,true
propose,proposes,proposing,proposed,proposed,true
protect,protects,protecting,protected,protected,true
protest,protests,protesting,protested,protested,true
prove,proves,proving,proved,proved,true
provide,provides,providing,provided,provided,true
provoke,provokes,provoking,provoked,provoked,true
publish,publishes,publishing,published,published,true
pull,pulls,pulling,pulled,pulled,true
punish,punishes,punishing,punished,punished,true
purchase,purchases,purchasing,purchased,purchased,true
pursue,pursues,pursuing,pursued,pursued,true
push,pushes,pushing,pushed,pushed,true
put,puts,putting,put,put,false
qualify,qualifies,qualifying,qualified,qualified,true
question,questions,questioning,questioned,questioned,true
quit,quits,quitting,quit,quit,false
quote,quotes,quoting,quoted,quoted,true
race,races,racing,raced,raced,true
raise,raises,raising,raised,raised,true
range,ranges,ranging,ranged,ranged,true
reach,reaches,reaching,reached,reached,true
react,reacts,reacting,reacted,reacted,true
read,reads,reading,read,read,false
realise,realises,realising,realised,realised,true
realize,realizes,realizing,realized,realized,true
reassure,reassures,reassuring,reassured,reassured,true
rebuild,rebuilds,rebuilding,rebuilt,rebuilt,false
recall,recalls,recalling,recalled,recalled,true
receive,receives,receiving,received,received,true
reckon,reckons,reckoning,reckoned,reckoned,true
recognise,recognises,recognising,recognised,recognised,true
recognize,recognizes,recognizing,recognized,recognized,true
recommend,recommends,recommending,recommended,recommended,true
reconcile,reconciles,reconciling,reconciled,reconciled,true
reconsider,reconsiders,reconsidering,reconsidered,reconsidered,true
record,records,recording,recorded,recorded,true
recover,recovers,recovering,recovered,recovered,true
recruit,recruits,recruiting,recruited,recruited,true
reduce,reduces,reducing,reduced,reduced,true
refer,refers,referring,referred,referred,true
reflect,reflects,reflecting,reflected,reflected,true
reform,reforms,reforming,reformed,reformed,true
